gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-159.18,73.85,0.0325,0.0257,477.7,705.4,-227.7,123.75,195.7,195.7,A_tight1_s7,112,7,0,safety_cap,2000,406,,3.2982,6.141,0,0,0,298.0,279.72,1,82,180,144,6.14
136.89,159.82,0.0012,0.0346,363.8,474.3,-110.5,62.35,127.81,127.81,A_tight1_s7,113,7,0,safety_cap,2000,310,,4.9686,8.363,0,0,0,205.0,201.37,1,69,154,87,8.36
-42.81,-177.71,0.0024,0.0099,762.5,496.5,266.1,143.41,44.58,143.41,A_tight1_s7,114,7,0,safety_cap,2000,487,2.1598,2.1598,3.401,6,1,0,198.0,191.43,1,51,241,195,3.4
178.36,31.93,0.0103,0.0288,395.7,524.2,-128.6,71.9,143.62,143.62,A_tight1_s7,115,7,0,safety_cap,2000,449,,5.5602,10.347,0,0,0,222.0,254.35,1,69,169,211,10.35
-132.88,5.2,0.0001,0.0333,313.4,674.5,-361.2,200.51,125.52,200.51,A_tight1_s7,116,7,1,success,1940,449,1.9872,1.9872,4.132,1,0,0,205.0,195.35,1,69,192,188,4.13
7.29,145.73,0.0104,0.0162,756.2,366.9,389.3,212.98,96.15,212.98,A_tight1_s7,117,7,0,safety_cap,2000,492,1.3062,1.3062,2.717,20,6,0,231.0,222.21,1,42,377,73,2.72
171.32,55.8,0.0149,0.0151,744.1,529.4,214.7,115.53,96.26,115.53,A_tight1_s7,118,7,0,safety_cap,2000,449,,4.1131,7.844,0,0,0,188.0,184.44,1,77,194,178,7.84
0.95,-124.78,0.0164,0.0411,351.5,661.5,-310.0,171.59,197.1,197.1,A_tight1_s7,119,7,1,success,1834,486,1.5879,1.5879,2.44,8,4,0,225.0,197.6,1,34,291,161,2.44
173.01,-172.89,0.0213,0.0208,745.5,462.4,283.0,153.4,19.82,153.4,A_tight1_s7,120,7,0,safety_cap,2000,440,,3.3925,7.212,0,0,0,154.0,158.16,1,76,178,186,7.21
48.64,-170.75,0.0406,0.0325,722.6,465.9,256.7,139.39,263.1,263.1,A_tight1_s7,121,7,1,success,1875,416,1.8443,1.8443,2.246,3,0,0,311.0,287.9,1,51,271,94,2.25
