gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-51.68,-62.53,0.0108,0.0101,634.0,790.3,-156.3,82.76,7.75,82.76,C_tight5_s7,86,7,1,success,1891,386,,4.5313,5.123,0,0,0,82.0,81.41,1,41,221,124,5.12
-2.57,57.28,0.0418,0.0424,607.9,505.6,102.3,55.99,159.97,159.97,C_tight5_s7,87,7,1,success,1593,314,5.2766,5.2766,4.498,1,0,0,170.0,161.29,1,28,252,34,4.5
-91.38,-115.44,0.0258,0.0307,611.6,427.5,184.1,101.62,48.6,101.62,C_tight5_s7,88,7,0,safety_cap,2000,422,,19.0966,16.361,0,0,0,184.0,184.81,1,87,164,171,16.36
-42.54,93.09,0.0269,0.0134,778.9,325.7,453.3,248.49,145.49,248.49,C_tight5_s7,89,7,0,safety_cap,2000,513,,22.5651,19.288,0,0,0,311.0,302.91,1,110,153,250,21.54
96.81,162.29,0.0057,0.042,497.4,605.6,-108.2,59.29,151.17,151.17,C_tight5_s7,90,7,1,success,1983,404,,4.549,5.837,0,0,0,210.0,201.54,1,65,182,157,5.84
51.88,132.33,0.0034,0.0329,758.6,666.0,92.6,49.01,122.17,122.17,C_tight5_s7,91,7,1,success,1878,473,,9.3012,8.267,0,0,0,158.0,149.39,1,49,224,200,8.27
-58.03,-123.42,0.0019,0.0331,525.2,687.0,-161.9,87.69,121.44,121.44,C_tight5_s7,92,7,1,success,1934,428,,13.1411,12.6,0,0,0,162.0,151.99,1,52,233,143,12.6
-160.22,-72.94,0.0363,0.0342,668.9,465.2,203.6,111.24,185.87,185.87,C_tight5_s7,93,7,0,safety_cap,2000,442,,14.0496,12.496,0,0,0,291.0,287.73,1,83,177,182,12.75
-108.47,-61.72,0.0351,0.0181,726.0,408.4,317.6,173.5,100.53,173.5,C_tight5_s7,94,7,0,safety_cap,2000,475,,15.542,13.328,0,0,0,230.0,227.72,1,98,182,195,13.33
119.98,-164.32,0.0018,0.0298,529.9,792.8,-262.9,140.75,109.69,140.75,C_tight5_s7,95,7,0,safety_cap,2000,420,,9.5248,10.162,0,0,0,247.0,237.93,1,90,170,160,10.16
143.46,-82.82,0.0336,0.0315,486.0,753.6,-267.5,144.5,224.02,224.02,C_tight5_s7,96,7,0,safety_cap,2000,403,,6.6666,6.422,0,0,0,361.0,300.25,1,94,168,141,6.63
-105.5,-114.36,0.0472,0.0161,642.6,714.4,-71.8,38.29,117.66,117.66,C_tight5_s7,97,7,1,success,1965,428,,4.8926,5.348,0,0,0,186.0,173.42,1,68,191,169,5.35
59.55,-86.02,0.0204,0.0049,650.5,732.1,-81.6,43.38,92.25,92.25,C_tight5_s7,98,7,1,success,1939,436,,6.6769,6.306,0,0,0,130.0,123.8,1,45,232,159,6.31
155.62,143.97,0.0332,0.0229,457.9,563.4,-105.5,58.32,44.59,58.32,C_tight5_s7,99,7,0,safety_cap,2000,485,,8.7804,7.894,0,0,0,160.0,153.77,1,82,179,224,7.89
