geom,rho0_km,rho_over_r,arc_min,n_obs,dv_ms,burn_dir,crlb_los_m,crlb_rel,fim_cond,crlb_los_rb_m,crlb_rel_rb,beta_floor_mrad
A5_leo_180deg,13572.600000000002,1.9565461826547998,90.0,91,10.0,prograde,2399.3508998090256,0.00017677901800753173,6755.934293852504,15.763956889256699,1.1614544662965604e-06,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,360.0,361,0.0,none,525.8491347101922,3.874343417695888e-05,41564.33027729629,9.001307056398202,6.631969597864964e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,360.0,361,0.1,radial,525.8490331665419,3.874342669544095e-05,41564.29697948971,9.00391976319752,6.633894584086703e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,360.0,361,1.0,radial,525.8481210369205,3.874335949169064e-05,41563.99611264641,9.02744661139375,6.651228660237352e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,360.0,361,1.0,prograde,525.8789834647393,3.874563336904788e-05,41546.13579225859,9.097592916224574,6.702910950167671e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,360.0,361,10.0,prograde,526.1113095036665,3.876275065231911e-05,41379.76300325982,8.947546096679796,6.592359678086582e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,1440.0,1441,0.0,none,252.4112141935384,1.8597115821105638e-05,654206.078832794,1.8007328674065575,1.3267412783155456e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,1440.0,1441,0.1,radial,252.41120126061824,1.8597114868235873e-05,654205.5608596226,1.80071080349039,1.3267250220962748e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,1440.0,1441,1.0,radial,252.41107818290237,1.8597105800134267e-05,654200.8805810693,1.800512075799537,1.326578603804383e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,1440.0,1441,1.0,prograde,252.2958740868373,1.858861780991389e-05,653901.5087897922,1.7890358084630302,1.3181231366599105e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,1440.0,1441,10.0,prograde,250.81397208353297,1.8479434454970525e-05,650490.3978879465,1.6824986072061912,1.2396288162962077e-07,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,3000.0,3001,0.0,none,171.13585210832616,1.2608921806310223e-05,2844994.5250613443,1.0871512084601327,8.009896471273983e-08,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,3000.0,3001,0.1,radial,171.13622471369095,1.2608949259072758e-05,2844996.4423979325,1.0871609646944047,8.00996835311145e-08,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,3000.0,3001,1.0,radial,171.1395460178025,1.2609193965622097e-05,2845013.369596296,1.0872478167464228,8.010608260365904e-08,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,3000.0,3001,1.0,prograde,170.597324162657,1.2569244224589023e-05,2839848.7670308873,1.0702898706231743,7.885665757652727e-08,2.4868995751603507e-11
A5_leo_180deg,13572.600000000002,1.9565461826547998,3000.0,3001,10.0,prograde,161.95924419458103,1.1932809056082182e-05,2757794.4161267234,0.9358174366276536,6.89490176257794e-08,2.4868995751603507e-11
A6_wide_e30_90deg,14215.728999611663,1.2395434632900901,15.0,16,0.0,none,7430178.464690309,0.5226730521447955,19062479.801477693,33.04871713314597,2.3247993215155395e-06,1.0658141036401503e-11
A6_wide_e30_90deg,14215.728999611663,1.2395434632900901,30.0,31,0.0,none,766984.101367606,0.05395320221626045,831675.7685687321,30.102784664434786,2.1175688327525882e-06,1.0658141036401503e-11
A6_wide_e30_90deg,14215.728999611663,1.2395434632900901,30.0,31,0.1,radial,767122.4349712143,0.053962933240509166,832033.1275929864,30.102733371142975,2.1175652245456636e-06,1.0658141036401503e-11
A6_wide_e30_90deg,14215.728999611663,1.2395434632900901,30.0,31,1.0,radial,768368.6778188881,0.05405059971527862,835256.5431760731,30.102269892072442,2.1175326212883462e-06,1.0658141036401503e-11
A6_wide_e30_90deg,14215.728999611663,1.2395434632900901,30.0,31,1.0,prograde,769554.0089798346,0.0541339813808252,837278.0310327752,30.102825749373558,2.117571722856836e-06,1.0658141036401503e-11
A6_wide_e30_90deg,14215.728999611663,1.2395434632900901,30.0,31,10.0,prograde,793440.8240660577,0.05581429021949789,890249.3138985679,30.103184332806673,2.1175969472708023e-06,1.0658141036401503e-11
