scenario,design,gamma_form,decisions,total,worst_step,best_step,open_leg,drift_leg,close_leg,xfer_leg,terminal
expert_xfer_g120,S_R,gamma^tau,62,3.2821499745520075,-0.0001213162205007225,0.1997692177749138,0.013571301809221191,3.099680272985274,0.002087867165912652,0.16287242641894606,0.003938106172654055
expert_xfer_g120,S_R,gamma^1/decision,62,0.7842273033172417,-0.0004127474336769778,0.046641250095969755,0.013571301809221191,0.7195518350565908,0.002087867165912652,0.04507819311286276,0.003938106172654055
expert_xfer_g120,S_R,gamma_shape=1,62,0.6729746018820215,-0.0014134422327234386,0.04400231279389388,-0.003414015397410702,0.6726669649940519,0.0019736723463057862,-0.0021901262335795035,0.003938106172654055
expert_xfer_g120,S_R3,gamma^tau,62,3.836397879689708,-0.034589052892762484,0.21331521085690064,-0.05905033465405037,3.6052905507980673,0.07431385998211126,0.2052348424669287,0.010608961096650703
expert_xfer_g120,S_R3,gamma^1/decision,62,0.8375902698936424,-0.034589052892762484,0.040489326628836426,-0.05905033465405037,0.7290590871335685,0.07431385998211126,0.08265869633536216,0.010608961096650703
expert_xfer_g120,S_R3,gamma_shape=1,62,0.7110720714388549,-0.03816512424065699,0.04026834944524125,-0.07765190285847673,0.6703206434695181,0.073771443630549,0.03402292610061386,0.010608961096650703
coast,legacy,gamma^tau,2000,0.19989092496605648,0.0,9.999546021313005e-05,0,0,0,0,0.0
coast,legacy,gamma^1/decision,2000,0.19989092496605648,0.0,9.999546021313005e-05,0,0,0,0,0.0
coast,legacy,gamma_shape=1,2000,0.0,0.0,0.0,0,0,0,0,0.0
coast,S_A,gamma^tau,2000,0.19989999999999425,0.0,9.99999999999994e-05,0,0,0,0,0.0
coast,S_A,gamma^1/decision,2000,0.19989999999999425,0.0,9.99999999999994e-05,0,0,0,0,0.0
coast,S_A,gamma_shape=1,2000,0.0,0.0,0.0,0,0,0,0,0.0
coast,S_B,gamma^tau,2000,9.995000000000008,0.0,0.0050000000000000044,0,0,0,0,0.0
coast,S_B,gamma^1/decision,2000,9.995000000000008,0.0,0.0050000000000000044,0,0,0,0,0.0
coast,S_B,gamma_shape=1,2000,0.0,0.0,0.0,0,0,0,0,0.0
coast,S_C,gamma^tau,2000,3.198399999999908,0.0,0.0015999999999999903,0,0,0,0,0.0
coast,S_C,gamma^1/decision,2000,3.198399999999908,0.0,0.0015999999999999903,0,0,0,0,0.0
coast,S_C,gamma_shape=1,2000,0.0,0.0,0.0,0,0,0,0,0.0
