band,alt_lo_km,alt_hi_km,e_max,de_max,da_max_km,same_orbit,horizon,di_max_deg,n,budget_ms,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,dv_seq_p50,dv_seq_p90,dv_seq_p99,dv_comb_p90,dv_plane_p50,dv_plane_p90,theta_p50,theta_p90,steps_p50,steps_p90
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,1.75,4000,478.12987798780637,0.86825,0.99675,1.0,0.86825,0.99675,386.61259987638203,492.2424342446357,573.8466123738152,394.4259644108928,146.48169651591223,199.95531616201825,1.2376782863641265,1.6620258251841156,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,2.0,4000,478.12987798780637,0.7835,0.988,1.0,0.7835,0.988,407.1209238404851,517.2256779070912,602.2791617733445,412.1111005918207,167.40658730862822,228.51788498605404,1.4144894701304305,1.8994580859247034,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,2.5,4000,478.12987798780637,0.61375,0.94975,1.0,0.61375,0.94975,448.9866810725276,569.5631355145567,659.505833440697,451.3033916897076,209.25503659936567,285.6399272887884,1.7681118376630378,2.374322607405879,1399.7929829593031,2723.18073004329
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,3.0,4000,478.12987798780637,0.453,0.84875,1.0,0.453,0.84875,490.36071048244895,623.2288527467218,713.2077262568439,497.49670328303483,251.10135424706388,342.7570171512677,2.121734205195646,2.8491871288870554,1399.7929829593031,2723.18073004329
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,0.0,4000,478.12987798780637,0.97525,0.97525,1.0,0.97525,0.97525,260.5046345700375,385.56637054170614,509.97773057151875,385.56637054170614,0.0,0.0,0.0,0.0,1985.670693678704,5458.378168777263
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,0.1,4000,478.12987798780637,0.973,0.9775,1.0,0.973,0.9775,265.0522542114262,395.8985103646178,517.9629651402169,388.95052222614436,6.7580814018214665,9.794979857774678,0.07072447350652153,0.09497290429623519,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,0.2,4000,478.12987798780637,0.9695,0.977,1.0,0.9695,0.977,272.22426489062013,402.7487753342506,521.8367513477,389.2986573091884,13.516160116737252,19.58995403736397,0.14144894701304306,0.18994580859247037,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,0.3,4000,478.12987798780637,0.96525,0.9765,1.0,0.96525,0.9765,279.31349084225945,410.804246819531,530.4662724241213,389.5595171982566,20.274233457842755,29.384916860585786,0.21217342051956456,0.28491871288870546,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,0.4,4000,478.12987798780637,0.96075,0.9765,1.0,0.96075,0.9765,285.3511590269145,418.0460730035112,539.1307467187862,390.98009433749564,27.032298738235554,39.179862649264656,0.2828978940260861,0.37989161718494074,2056.9911789427724,5431.8165749462405
WL4 300-8000 e<=0.30,300,8000,0.3,0.08,600,0,6000,0.5,4000,478.12987798780637,0.957,0.97625,1.0,0.957,0.97625,291.65112479313376,424.9572693899561,547.7314263601969,391.98319869931356,33.79035327101646,48.97478572523498,0.3536223675326076,0.47486452148117586,2056.9911789427724,5431.8165749462405
