block,a_km,e,i_t_deg,sep_km,da_m,di_deg,dv_ms,dv_axis,orbits,n_obs,rho0_km,rho_mean_km,oop_amp_m,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_pos_m,sigma_vrange_ms,sigma_vinplane_ms,sigma_vplane_ms,rel_sigma_range,rel_sigma_plane,plane_over_range,plane_over_inplane,fim_cond
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,nor,0.5,47,4.999999886396868,13.163802110557702,22626.77577127301,6.176916675250285,2.2347469886242854,2.212799890762165,6.931441197377887,0.0017646036661776218,0.005713768126284454,0.00433154922497303,0.001235383363118741,0.00044255998820767316,0.3582369662890917,0.9901791576523697,457.3116829364316
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,nor,1.0,93,4.999999886396868,11.043592398147288,21403.80451689922,4.736594360538976,1.1247033932806332,1.3184451770397674,5.0436674696103845,0.0011478024627932233,0.005079987517751904,0.001597271464534694,0.0009473188936314739,0.0002636890413991337,0.27835298458822255,1.1722603354063077,5529.922946889115
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,nor,2.0,186,4.999999886396868,11.777255464574031,21749.26351185754,3.8441944572768043,0.7411721140186702,0.8775922650604938,4.012148465803654,0.000750669557507618,0.004329675934476399,0.001046000180227775,0.0007688389089238625,0.00017551845699998806,0.2282902893736996,1.1840600158337677,20554.044185688876
leo,6771.0,0.0,51.6,5.0,0.0,0.01,25.0,nor,3.0,278,4.999999886396868,12.447356685565387,23189.914717493193,4.415858231689461,0.5719999301800284,0.6296203277959546,4.49704454054876,0.0005960594641644346,0.004890480583591831,0.00126636207285712,0.0008831716664041057,0.00012592406842026465,0.1425816443285292,1.1007349731630056,77256.69457450761
leo,6771.0,0.0,51.6,5.0,0.0,0.05,0.0,none,0.25,24,4.999999886397544,6.434818684625866,5908.632625661994,12926.072653424628,2.7586183239550883,3.233107816143496,12926.073352127212,0.018675241220876992,14.649830602234415,17.29752283032827,2.585214589422271,0.0006466215779202591,0.00025012298033826367,1.1720025884219176,1354380830.6400757
leo,6771.0,0.0,51.6,5.0,0.0,0.05,0.0,none,0.5,47,4.999999886397544,6.4197386675272945,5908.632625661994,4806.717341091497,1.9480485163209444,2.2668942471997937,4806.718270384927,0.008831668141648027,5.445488537405662,6.427763232371189,0.9613434900604957,0.0004533788597409492,0.0004716096425767847,1.1636744301836057,1831140803.068993
leo,6771.0,0.0,51.6,5.0,0.0,0.05,0.0,none,1.0,93,4.999999886397544,6.435008959854915,5908.632625661994,1532.1077981371143,1.0321593647914955,0.9789205080076944,1532.108458546872,0.0032503794274378467,1.7361142588844323,2.0486606139039756,0.3064215665894714,0.00019578410604984995,0.0006389370964614638,0.948419925643405,1810447088.9534266
leo,6771.0,0.0,51.6,5.0,0.0,0.05,0.0,none,2.0,186,4.999999886397544,6.435013744073963,5908.632625661994,804.5543562609957,0.5198376187673444,0.6509210318495364,804.5547875116306,0.001449341581095057,0.9116842380915628,1.0766689975673605,0.1609108749081733,0.00013018420932775648,0.0008090454383648618,1.2521622297998003,3173566975.9680166
leo,6771.0,0.0,51.6,5.0,0.0,0.05,0.0,none,3.0,278,4.999999886397544,6.440170984553006,5908.766948137019,634.1708983244592,0.4075362841725923,0.5314812854240882,634.171251981538,0.001104302113614264,0.7186133618049131,0.848856415682031,0.1268341825466268,0.00010629625949992089,0.0008380726501772836,1.304132432043781,6334374732.696508
leo,6771.0,0.0,51.6,5.0,0.0,0.05,1.0,pro,0.25,24,4.999999886397544,6.311700575183114,5909.368613091995,143.65755728113655,3.4576447130365566,2.6845080835528665,143.72423475042504,0.019989576038082223,0.14395693618570532,0.18039709185654684,0.02873151210902138,0.0005369016289092421,0.018686855981403808,0.7763978969358278,152731.97979317463
leo,6771.0,0.0,51.6,5.0,0.0,0.05,1.0,pro,0.5,47,4.999999886397544,6.674171555183845,5908.806214613063,32.6863424357307,2.6816989163858898,1.733607111301166,32.84195311671261,0.0028264431891704246,0.02972868383340163,0.03900788217355903,0.006537268635676096,0.0003467214301379144,0.053037659833303746,0.6464585195259497,40447.818901992316
