a_km,e,sep_km,orbits,dv_ms,n_obs,rho0_km,sigma_los_bo_m,sigma_los_rb_m,rel_sigma_bo,bo_over_rb,gain_vs_no_burn,fim_cond_bo
6771.0,0.0,13000.0,3.0,5.0,278,11093.308688439369,1437.5379871409305,7.45789990653217,0.00012958604394007595,192.75372493023545,0.9993267049929238,6240107513.616989
6771.0,0.0,13000.0,3.0,25.0,278,11093.308688439369,1441.2233818569855,7.508845718162964,0.00012991826174988915,191.93674180451535,0.9967712972715695,6197302349.234387
12000.0,0.0,10.0,1.5,0.0,328,9.999999710648574,inf,4.17271106068114,inf,inf,nan,1.1932401934870988e+16
12000.0,0.0,10.0,1.5,25.0,328,9.999999710648574,5.432937297709349,4.1732748095032095,0.0005432937454912169,1.3018402922658454,nan,12872218272.06448
12000.0,0.0,1000.0,1.5,0.0,328,999.7106732644581,10229.753183189865,6.512548255415978,0.010232713780863816,1570.775798042276,nan,1314030191121.775
12000.0,0.0,1000.0,1.5,25.0,328,999.7106732644581,2291.5729586819507,6.530834132053395,0.0022922361638883395,350.88518745789133,nan,41653428028.715126
12000.0,0.0,12000.0,1.5,0.0,328,11506.212926500872,3298.1276518408067,6.5134832826283695,0.0002866388509328406,506.3538983261076,nan,11779990068.570438
12000.0,0.0,12000.0,1.5,25.0,328,11506.212926500872,3359.48942380162,6.55606876245489,0.00029197177605362346,512.4243728254727,nan,11706351440.086283
12000.0,0.3,10.0,1.5,0.0,328,7.000000110261126,inf,4.500696132711867,inf,inf,nan,1.806023045578405e+17
12000.0,0.3,10.0,1.5,25.0,328,7.000000110261126,4.590650107258888,3.9498684871972807,0.0006558071478498362,1.1622285962529069,nan,27259451343.96554
12000.0,0.3,1000.0,1.5,0.0,328,700.1102145733063,9697.45639177464,8.137757923717515,0.013851328247917244,1191.6619396494186,nan,10610191244539.715
12000.0,0.3,1000.0,1.5,25.0,328,700.1102145733063,1059.2525322311901,8.139823212016873,0.0015129796854581948,130.13212997886845,nan,81630120504.31828
12000.0,0.3,12000.0,1.5,0.0,328,8576.998901922847,4499.9458304625805,7.964209586918215,0.0005246527231633146,565.021020774499,nan,59170220757.0942
12000.0,0.3,12000.0,1.5,25.0,328,8576.998901922847,4618.316423809453,7.981987874928494,0.0005384536568815568,578.5922625008781,nan,57536856653.40082
12000.0,0.5,10.0,1.5,0.0,328,5.000000192901608,inf,5.04480352317358,inf,inf,nan,6.145466098415278e+16
12000.0,0.5,10.0,1.5,25.0,328,5.000000192901608,6.697984755874707,4.074087632772513,0.0013395968994928621,1.64404533225923,nan,284142405569.4764
12000.0,0.5,1000.0,1.5,0.0,328,500.19295331521687,4647.838056554736,9.881823755355084,0.00929209023387763,470.34213234535923,nan,17550082181811.904
12000.0,0.5,1000.0,1.5,25.0,328,500.19295331521687,421.94492155859257,9.88681732833633,0.0008435643060582801,42.677527817700046,nan,101933107640.57086
12000.0,0.5,12000.0,1.5,0.0,328,6345.60072028789,5028.003076339096,9.6589382358134,0.0007923604553724558,520.5544288187155,nan,250407272378.89938
12000.0,0.5,12000.0,1.5,25.0,328,6345.60072028789,5072.797334880307,9.663332550569626,0.0007994195598632248,524.9531989439068,nan,224924036356.86288
