cap,gap_deg,action,n_burn,dv,n_seeds,successes,rate
3000,140,6,6,150,8,0,0.0
3000,140,13,1,1,8,0,0.0
3000,140,15,1,2,8,0,0.0
3000,140,15,2,4,8,0,0.0
3000,150,4,1,5,8,0,0.0
3000,150,4,2,10,8,0,0.0
3000,150,5,1,10,8,0,0.0
3000,150,5,2,20,8,0,0.0
3000,150,5,3,30,8,0,0.0
3000,150,6,1,25,8,0,0.0
3000,150,6,2,50,8,0,0.0
3000,150,6,3,75,8,0,0.0
3000,150,6,4,100,8,0,0.0
3000,150,6,6,150,8,0,0.0
3000,150,13,1,1,8,0,0.0
3000,150,15,1,2,8,0,0.0
3000,150,15,2,4,8,0,0.0
3000,160,4,1,5,8,0,0.0
3000,160,4,2,10,8,0,0.0
3000,160,5,1,10,8,0,0.0
3000,160,5,2,20,8,0,0.0
3000,160,5,3,30,8,0,0.0
3000,160,6,1,25,8,0,0.0
3000,160,6,2,50,8,0,0.0
3000,160,6,3,75,8,0,0.0
3000,160,6,4,100,8,0,0.0
3000,160,6,6,150,8,0,0.0
3000,160,13,1,1,8,0,0.0
3000,160,15,1,2,8,0,0.0
3000,160,15,2,4,8,0,0.0
3000,170,4,1,5,8,0,0.0
3000,170,4,2,10,8,0,0.0
3000,170,5,1,10,8,0,0.0
3000,170,5,2,20,8,0,0.0
3000,170,5,3,30,8,0,0.0
3000,170,6,1,25,8,0,0.0
3000,170,6,2,50,8,0,0.0
3000,170,6,3,75,8,0,0.0
3000,170,6,4,100,8,0,0.0
3000,170,6,6,150,8,0,0.0
3000,170,13,1,1,8,0,0.0
3000,170,15,1,2,8,0,0.0
3000,170,15,2,4,8,0,0.0
3000,180,4,1,5,8,0,0.0
3000,180,4,2,10,8,0,0.0
3000,180,5,1,10,8,0,0.0
3000,180,5,2,20,8,0,0.0
3000,180,5,3,30,8,0,0.0
3000,180,6,1,25,8,0,0.0
3000,180,6,2,50,8,0,0.0
3000,180,6,3,75,8,0,0.0
3000,180,6,4,100,8,0,0.0
3000,180,6,6,150,8,0,0.0
3000,180,13,1,1,8,0,0.0
3000,180,15,1,2,8,0,0.0
3000,180,15,2,4,8,0,0.0
