rung,evec_mode,di_max_deg,n,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,de_p50,de_p90,dv_e_p50,dv_seq_p50,dv_seq_p90,dv_comb_p50,dv_comb_p90,dv_plane_p90,theta_p50,steps_p90,e_max,band
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.5344,0.625,1.0,0.5344,0.625,0.07430049692826798,0.21095515188102448,0.0,460.0826288207836,920.9487746628096,392.3945695220501,851.4597343664202,112.16386637526494,0.7034361163319323,2705.9363243443577,0.25,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,0.9878,1.0,1.0,0.9878,1.0,0.04107054106900128,0.056375040321079734,0.0,327.208563062643,418.2864010785976,271.03110922673784,353.0304938112061,112.69653616265283,0.7034361163319323,2705.9363243443577,0.25,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,1.0,5000,0.5302,0.6308,1.0,0.5302,0.6308,0.07259993873723868,0.20831293880332233,0.0,460.44042542773235,916.4908347274729,391.1814618739352,849.9615784792212,112.66429406714506,0.7139737194245852,2708.3883373332515,0.3,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,1.0,5000,0.9854,1.0,1.0,0.9854,1.0,0.04103904185590905,0.05658932498382287,0.0,327.1611422233817,420.8834202605467,270.97327197691254,354.8640785651494,113.03965423620066,0.7139737194245852,2708.3883373332515,0.3,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.017205223173945943,0.033638271777213055,0.0,208.1793420086616,290.3002190797711,182.88871949001987,261.42790141886115,47.465708682808405,0.2779974712542539,2667.2355719173006,0.02,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.014016789148291572,0.01884919595269635,0.0,188.26508564392128,261.844512842399,163.52634677871248,233.56259618126836,47.46080599778946,0.2779974712542539,2667.2355719173006,0.02,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.998,1.0,1.0,0.998,1.0,0.02523685759029712,0.04982599362472842,0.0,239.9029487848196,337.7789243779187,212.9638634387243,307.43757962615956,47.19508927588743,0.27853250693980836,2672.543868145821,0.03,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.020844444938841064,0.02828019277149786,0.0,213.76454312248123,286.8270760385018,187.91028163069313,258.1106104195377,47.135721214964505,0.27853250693980836,2672.543868145821,0.03,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.9826,0.9912,1.0,0.9826,0.9912,0.03378119471663008,0.06631307581881314,0.0,268.36770293757235,388.041268393505,240.6942048753233,357.17148901906756,46.672309025775476,0.2811071856609384,2672.044410441245,0.04,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.027903382579459825,0.037862226283568196,0.0,237.76057991112205,314.32746719139357,211.16838539616197,285.3365007165864,46.64980932822075,0.2811071856609384,2672.044410441245,0.04,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.9382,0.9602,1.0,0.9382,0.9602,0.04206560723343521,0.08176365863245803,0.0,297.5378017823865,443.22691435111875,268.5729631732094,412.5802715748944,46.37486973230095,0.2824713673239785,2661.731579465284,0.05,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.03475013270701556,0.04741782986424618,0.0,262.5935369622489,344.9864041903193,235.58749871793532,314.14323944627773,46.4058540329408,0.2824713673239785,2661.731579465284,0.05,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.879,0.9086,1.0,0.879,0.9086,0.04996359965878279,0.09718666320681976,0.0,324.8672993929987,496.9733885827973,295.87754751344323,467.1207966985539,46.23445944659004,0.28425341263268333,2666.578246705616,0.06,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.041363706814662,0.05679754315846673,0.0,286.723799612451,372.3291657493579,258.1804845294001,341.9372320377566,46.284563805983204,0.28425341263268333,2666.578246705616,0.06,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.795,0.8428,1.0,0.795,0.8428,0.054684984704895974,0.118218628474221,0.0,347.67559192650833,564.8261809027132,316.3290186480579,535.2060345607388,45.92915592043796,0.2811165357829466,2685.921632295395,0.08,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.04168124774455485,0.05691652630644449,0.0,286.65463479153414,372.27487319965326,258.46999633138967,343.20149322793213,45.99242243151937,0.2811165357829466,2685.921632295395,0.08,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.7256,0.7664,1.0,0.7256,0.7664,0.059331056822370394,0.13901857792698072,0.0,363.55958528150506,636.8311804562538,333.47940512763273,607.2475217911955,45.67861526305163,0.2834527619179483,2679.8487276611704,0.1,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.04164443603795909,0.05682419452239498,0.0,285.66256406640395,372.2895956267565,257.4862284337388,343.6323525677384,45.71419473752286,0.2834527619179483,2679.8487276611704,0.1,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",realized,0.4,5000,0.6722,0.7086,1.0,0.6722,0.7086,0.06448854607775453,0.16079268996031315,0.0,381.2169284957778,706.4246581307492,352.7793196009145,676.9871964634151,45.46420953853412,0.2857015974154053,2683.7487273792767,0.12,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
"WIDE-e band 300-2000 (W3 band, da400, cap3000)",intended,0.4,5000,1.0,1.0,1.0,1.0,1.0,0.04183711458059135,0.05683539951864199,0.0,285.04266572534334,371.1839601640641,256.24814254176385,341.88588924904656,45.601125021335605,0.2857015974154053,2683.7487273792767,0.12,"WIDE-e band 300-2000 (W3 band, da400, cap3000)"
