kind,alt,e_target,e_sat,phase_deg,relation,rollout_seed,success_n,total,wall_s
diag,MEO,0.0,0.0,180,same_orbit,1337,20,200,6.0
diag,MEO,0.0,0.0,180,same_orbit,31415,13,200,6.0
diag,MEO,0.0,0.0,180,fully_random,42,51,200,5.8
diag,MEO,0.0,0.0,180,fully_random,1337,54,200,6.2
diag,MEO,0.0,0.0,180,fully_random,31415,32,200,6.1
diag,MEO,0.05,0.05,30,same_orbit,42,31,200,5.5
diag,MEO,0.05,0.05,30,same_orbit,1337,34,200,5.5
diag,MEO,0.05,0.05,30,same_orbit,31415,31,200,5.5
diag,MEO,0.05,0.05,30,fully_random,42,47,200,6.1
diag,MEO,0.05,0.05,30,fully_random,1337,55,200,6.1
diag,MEO,0.05,0.05,30,fully_random,31415,54,200,6.1
diag,MEO,0.05,0.05,90,same_orbit,42,14,200,5.9
diag,MEO,0.05,0.05,90,same_orbit,1337,13,200,6.0
diag,MEO,0.05,0.05,90,same_orbit,31415,10,200,5.8
diag,MEO,0.05,0.05,90,fully_random,42,46,200,6.3
diag,MEO,0.05,0.05,90,fully_random,1337,55,200,6.3
diag,MEO,0.05,0.05,90,fully_random,31415,54,200,6.0
diag,MEO,0.05,0.05,150,same_orbit,42,11,200,6.0
diag,MEO,0.05,0.05,150,same_orbit,1337,11,200,6.1
diag,MEO,0.05,0.05,150,same_orbit,31415,8,200,5.9
diag,MEO,0.05,0.05,150,fully_random,42,46,200,6.3
diag,MEO,0.05,0.05,150,fully_random,1337,55,200,6.1
diag,MEO,0.05,0.05,150,fully_random,31415,54,200,6.2
diag,MEO,0.05,0.05,180,same_orbit,42,13,200,5.9
diag,MEO,0.05,0.05,180,same_orbit,1337,14,200,6.1
diag,MEO,0.05,0.05,180,same_orbit,31415,8,200,6.0
diag,MEO,0.05,0.05,180,fully_random,42,46,200,6.3
diag,MEO,0.05,0.05,180,fully_random,1337,55,200,6.2
diag,MEO,0.1,0.1,30,same_orbit,42,32,200,5.3
diag,MEO,0.05,0.05,180,fully_random,31415,54,200,6.3
diag,MEO,0.1,0.1,30,same_orbit,31415,36,200,5.5
diag,MEO,0.1,0.1,30,same_orbit,1337,36,200,5.8
diag,MEO,0.1,0.1,30,fully_random,42,45,200,6.3
diag,MEO,0.1,0.1,30,fully_random,1337,51,200,6.2
diag,MEO,0.1,0.1,90,same_orbit,42,13,200,6.0
diag,MEO,0.1,0.1,30,fully_random,31415,52,200,6.2
diag,MEO,0.1,0.1,90,same_orbit,1337,16,200,5.8
diag,MEO,0.1,0.1,90,same_orbit,31415,13,200,5.9
diag,MEO,0.1,0.1,90,fully_random,42,45,200,6.0
diag,MEO,0.1,0.1,90,fully_random,1337,51,200,6.1
diag,MEO,0.1,0.1,90,fully_random,31415,52,200,6.2
diag,MEO,0.1,0.1,150,same_orbit,42,7,200,6.0
diag,MEO,0.1,0.1,150,same_orbit,1337,8,200,6.2
diag,MEO,0.1,0.1,150,same_orbit,31415,3,200,6.2
diag,MEO,0.1,0.1,150,fully_random,1337,51,200,6.0
diag,MEO,0.1,0.1,150,fully_random,42,45,200,6.4
diag,MEO,0.1,0.1,150,fully_random,31415,52,200,6.2
diag,MEO,0.1,0.1,180,same_orbit,42,7,200,6.3
diag,MEO,0.1,0.1,180,same_orbit,1337,8,200,6.1
diag,MEO,0.1,0.1,180,same_orbit,31415,3,200,6.3
diag,MEO,0.1,0.1,180,fully_random,42,45,200,6.2
diag,MEO,0.1,0.1,180,fully_random,1337,51,200,6.4
diag,MEO,0.1,0.1,180,fully_random,31415,52,200,6.1
diag,MEO,0.2,0.2,30,same_orbit,42,25,200,5.8
diag,MEO,0.2,0.2,30,same_orbit,1337,21,200,5.7
diag,MEO,0.2,0.2,30,same_orbit,31415,16,200,6.0
diag,MEO,0.2,0.2,30,fully_random,42,41,200,6.2
diag,MEO,0.2,0.2,30,fully_random,1337,42,200,6.3
diag,MEO,0.2,0.2,30,fully_random,31415,44,200,6.3
diag,MEO,0.2,0.2,90,same_orbit,42,4,200,5.9
diag,MEO,0.2,0.2,90,same_orbit,31415,8,200,5.9
diag,MEO,0.2,0.2,90,same_orbit,1337,6,200,6.1
diag,MEO,0.2,0.2,90,fully_random,42,41,200,6.0
diag,MEO,0.2,0.2,90,fully_random,1337,42,200,6.3
diag,MEO,0.2,0.2,90,fully_random,31415,44,200,6.2
diag,MEO,0.2,0.2,150,same_orbit,42,0,200,6.3
diag,MEO,0.2,0.2,150,same_orbit,1337,1,200,6.0
diag,MEO,0.2,0.2,150,same_orbit,31415,1,200,6.1
diag,MEO,0.2,0.2,150,fully_random,42,41,200,6.2
diag,MEO,0.2,0.2,150,fully_random,1337,42,200,6.0
diag,MEO,0.2,0.2,150,fully_random,31415,44,200,6.0
diag,MEO,0.2,0.2,180,same_orbit,42,0,200,5.9
diag,MEO,0.2,0.2,180,same_orbit,31415,0,200,6.2
diag,MEO,0.2,0.2,180,same_orbit,1337,1,200,6.3
diag,MEO,0.2,0.2,180,fully_random,42,41,200,6.1
diag,MEO,0.2,0.2,180,fully_random,1337,42,200,6.0
diag,MEO,0.3,0.3,30,same_orbit,42,15,200,6.0
diag,MEO,0.2,0.2,180,fully_random,31415,44,200,6.2
diag,MEO,0.3,0.3,30,same_orbit,1337,20,200,5.9
diag,MEO,0.3,0.3,30,same_orbit,31415,21,200,5.8
diag,MEO,0.3,0.3,30,fully_random,42,34,200,6.2
diag,MEO,0.3,0.3,30,fully_random,1337,39,200,6.2
diag,MEO,0.3,0.3,30,fully_random,31415,36,200,6.0
diag,MEO,0.3,0.3,90,same_orbit,42,11,200,6.0
diag,MEO,0.3,0.3,90,same_orbit,1337,8,200,5.9
diag,MEO,0.3,0.3,90,same_orbit,31415,5,200,6.1
diag,MEO,0.3,0.3,90,fully_random,42,34,200,6.1
diag,MEO,0.3,0.3,90,fully_random,1337,39,200,6.1
diag,MEO,0.3,0.3,90,fully_random,31415,36,200,6.2
diag,MEO,0.3,0.3,150,same_orbit,42,0,200,6.0
diag,MEO,0.3,0.3,150,same_orbit,1337,0,200,6.3
diag,MEO,0.3,0.3,150,same_orbit,31415,0,200,6.3
diag,MEO,0.3,0.3,150,fully_random,42,34,200,6.1
diag,MEO,0.3,0.3,150,fully_random,1337,39,200,6.2
diag,MEO,0.3,0.3,150,fully_random,31415,36,200,6.0
diag,MEO,0.3,0.3,180,same_orbit,42,4,200,5.9
diag,MEO,0.3,0.3,180,same_orbit,1337,2,200,6.3
diag,MEO,0.3,0.3,180,same_orbit,31415,3,200,6.4
diag,MEO,0.3,0.3,180,fully_random,42,34,200,6.6
diag,MEO,0.3,0.3,180,fully_random,1337,39,200,6.4
