a_sat_km,a_tgt_km,di_rel_deg,dv_coarse,dv_fine,dv_inplane,dv_plane,dv_radial,dv_tangential,dv_total,episode,episode_orbits,hohmann_dv,inplane_oop_frac,lambert_dv1,lambert_dv2,lambert_dv_boxcredited,lambert_dv_timematched,lambert_revs,lambert_tof_s,lambert_wait_s,lineage,n_burns,plane_opt_dv,plane_ratio,ratio_boxcredited,ratio_inplane,ratio_total,steps,success,teleport_abs_deg,terminal_cause
6971.556,7113.8215,0.0,50.0,0.0,50.0,0.0,0.0,50.0,50.0,ep_0000011.npz,1.7684732384126094,75.98841026474656,0.0,29.185579903254403,45.90677832761085,29.185579903254403,75.09235823086269,0,3870.528550369658,5505.39764747191,T3-canonical,2,0.0,nan,1.7131747995325814,0.665846714339172,0.665846714339172,176,1,0.0001271419917095803,1
6968.9755,6747.2325,0.0,225.0,0.0,225.0,0.0,0.0,225.0,225.0,ep_0000012.npz,10.92157995029321,123.2608848483469,0.0,8.14200761099603,129.71324996326388,87.85525757425991,137.85525757426137,8,49228.25223755123,10069.854722612361,T3-canonical,11,0.0,nan,2.561030565641653,1.63214667296091,1.63214667296091,1004,1,0.0007221320487476122,1
6963.9465,6722.683,0.0,235.0,0.0,235.0,0.0,0.0,235.0,235.0,ep_0000013.npz,9.537681271435618,134.54927357518955,0.0,20.96796033960742,151.96971443129124,122.93767477089865,172.937674768136,4,26256.84881509938,9993.707865168539,T3-canonical,10,0.0,nan,1.9115376993906534,1.358871051753606,1.358871051753606,872,1,0.0006471163041710555,1
7050.4825,7130.72,0.0,285.0,0.0,285.0,0.0,0.0,285.0,285.0,ep_0000014.npz,8.54061659281872,42.42256270861344,0.0,115.40988058546407,161.67920166865278,227.08908225411685,277.08908225370936,7,43807.60489230371,2795.5367801966295,T3-canonical,12,0.0,nan,1.2550140991854455,1.0285500882313623,1.0285500882313623,853,1,0.0006090881647375367,1
6957.7255,7165.348,0.0,120.0,0.0,120.0,0.0,0.0,120.0,120.0,ep_0000015.npz,3.0813854833117604,110.45863540648315,0.0,41.122447543397804,69.42265553032027,60.545103073718074,110.54510307371807,1,8869.526534406785,559.3612842345506,T3-canonical,6,0.0,nan,1.981993487630061,1.0855297671573643,1.0855297671573643,310,1,0.00022583010723974004,1
7043.9845,6922.784,0.0,125.0,0.0,125.0,0.0,0.0,125.0,125.0,ep_0000016.npz,1.884046438066809,65.56267420827953,0.0,93.72741228347635,30.692732035698306,93.72741228347635,124.42014431917465,1,9098.291406534725,1701.7056925912918,T3-canonical,5,0.0,nan,1.3336546582758568,1.0046604646216921,1.0046604646216921,180,1,0.0001280690495849139,1
7101.4405,6822.5565,0.0,145.0,0.0,145.0,0.0,0.0,145.0,145.0,ep_0000017.npz,10.024417579189528,151.5747810043822,0.0,67.56615340714502,83.59513158108501,101.16128498823004,151.16128498823002,0,3808.141034595453,44289.07297884481,T3-canonical,7,0.0,nan,1.4333546674191666,0.9592403240769635,0.9592403240769635,937,1,0.0007259389138296174,1
7116.674,6946.0285,0.0,185.0,0.0,185.0,0.0,0.0,185.0,185.0,ep_0000018.npz,7.498388275343879,91.36913739889224,0.0,19.47385917493117,116.41793379328448,85.89179296821564,135.89179296822869,2,15088.123004688656,20846.43170646067,T3-canonical,8,0.0,nan,2.153872839381284,1.3613772837867608,1.3613772837867608,720,1,0.000554503080880371,1
7114.815,6871.4675,0.0,235.0,0.0,235.0,0.0,0.0,235.0,235.0,ep_0000019.npz,10.594979048649257,131.37315808860876,0.0,27.121125150783975,102.93585537313537,80.05698052391935,130.0569805239187,9,54844.2903341095,3915.208699087078,T3-canonical,10,0.0,nan,2.93540923554801,1.8069003220998299,1.8069003220998299,1001,1,0.0007241990439593306,1
6975.449,7049.3435,0.0,175.0,0.0,175.0,0.0,0.0,175.0,175.0,ep_0000020.npz,4.644961327176206,39.72426359333531,0.0,61.37071957228929,99.74678786511421,111.1175074374035,161.11750743740328,1,8996.936470262828,6576.565133426966,T3-canonical,7,0.0,nan,1.5749093372939795,1.086163774399193,1.086163774399193,456,1,0.00036306143219508725,1
7131.975,6775.8395,0.0,210.0,0.0,210.0,0.0,0.0,210.0,210.0,ep_0000021.npz,4.366937432580237,193.9177853911915,0.0,41.86265818880936,149.06827049359225,140.9309286824016,190.9309286824016,2,16221.640205147014,522.9090589887641,T3-canonical,9,0.0,nan,1.4900916495998597,1.099874187221486,1.099874187221486,404,1,0.00029917527753052135,1
6945.483,7114.794,0.0,250.0,0.0,250.0,0.0,0.0,250.0,250.0,ep_0000022.npz,6.771060140347813,90.67798536076953,0.0,62.07878089810469,150.46923426879178,162.54801516689648,212.54801516690424,6,34720.04540313049,1071.1701193820222,T3-canonical,10,0.0,nan,1.5380070912789185,1.1762048203728763,1.1762048203728763,674,1,0.0005144188793791292,1
6993.9315,6676.7185,0.0,335.0,0.0,335.0,0.0,0.0,335.0,335.0,ep_0000023.npz,3.5583735907847136,177.23064890309706,0.0,215.87818204486015,71.5619227484946,237.44010479335475,287.44010479335475,2,15482.69454309482,760.1462649227528,T3-canonical,14,0.0,nan,1.4108821266380087,1.1654601929707644,1.1654601929707644,322,1,0.00024725388587886523,1
6841.5825,7153.2555,0.0,160.0,0.0,160.0,0.0,0.0,160.0,160.0,ep_0000024.npz,11.838620646064635,168.1171615631065,0.0,106.55116937170021,60.78297131575109,117.33414068745131,167.33414068744963,1,9178.725323900188,60588.89944698033,T3-canonical,7,0.0,nan,1.3636269807114352,0.9561706854481746,0.9561706854481746,1188,1,0.0009176867786608567,1
