geom,rho0_km,rho_over_r,arc_min,n_obs,sigma_beta_mrad,dv_ms,burn_dir,crlb_los_m,crlb_rel,fim_cond,crlb_los_rb_m,crlb_rel_rb,D_k0.5,D_k0.8,D_k1.25,D_k2,beta_floor_mrad
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,1.0,10.0,prograde,77.02332217922478,0.00755924463368903,2481.5930043600424,10.936032508359713,0.0010732871903435595,114.1419767773658,31.778917407134763,27.35912862107305,72.0855185701127,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,1.0,0.0,none,1589.8242578873926,0.156028981221813,7812745.23577265,6.244120730667541,0.0006128122598448025,3.2218685842052754,1.2846040744169371,1.5980024468227982,6.340504588134594,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,1.0,0.1,radial,800.8763501717489,0.07859983289473299,1941050.0488897536,6.242684231861879,0.0006126712785734061,9.891123466627464,2.8931447005477904,2.836128358081998,9.308555245657319,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,1.0,1.0,radial,132.97884843155177,0.013050847690798369,45923.65922215401,6.234034232165888,0.0006118223478608203,74.29520122273783,18.92255538342659,15.558089534842356,40.64803874104687,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,1.0,1.0,prograde,412.90143806004045,0.040523089521315406,262744.8272164756,6.073964497645264,0.0005961127387780608,25.889572169890222,6.286518318802256,4.84740781451792,12.122978354482527,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,1.0,10.0,prograde,67.04971819708064,0.006580412375517515,2172.431257928961,5.016171485183232,0.0004922985182696116,132.5435624604177,36.647361317141474,31.329303951442505,82.85744226351504,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,1.0,0.0,none,153.60620269696275,0.015075263317472911,88949.56317068824,4.979533305557504,0.0004887027636995936,33.61571967566399,13.340204521097858,16.46502438077965,64.35700421894167,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,1.0,0.1,radial,148.83377739691113,0.014606886606128881,81440.09200427146,4.976701482051389,0.0004884248420774603,35.98464268864877,13.881552821986416,16.889477443740226,65.46146044319279,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,1.0,1.0,radial,89.6505880555081,0.008798513326765544,24826.11517331103,4.95490206776535,0.0004862853978052973,92.35594061203481,26.09332992645035,25.233518854252317,83.28209588995963,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,1.0,1.0,prograde,92.24255918070999,0.009052895288806442,14332.6525111351,4.921849170167764,0.0004830415109964287,60.22126413063576,22.518374030905505,27.193221434347535,105.3658492533142,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,1.0,10.0,prograde,27.102513578749786,0.0026599025403361326,369.9658981595981,4.2534266370622955,0.00041744099801599525,217.97639440891507,78.15905729600932,90.97989559499683,342.40629259694293,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,1440.0,1441,1.0,0.0,none,24.591695086109034,0.0024134850828743826,3030.7087810608828,2.949690895275263,0.0002894893967215183,233.9026980861645,87.29332938645116,96.86642032353889,319.2655156200357,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,1440.0,1441,1.0,0.1,radial,24.483177326392653,0.0024028349022591237,2941.968704114912,2.9491413378329128,0.0002894354618998376,235.41866019753894,87.73622726776416,97.23569313328002,320.1286353906379,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,1440.0,1441,1.0,1.0,radial,23.31553442721754,0.002288239763151565,2330.2700061171627,2.945181178516777,0.00028904680282603926,258.82627187549457,93.12497200989107,101.24422498931504,329.27728268844413,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,1440.0,1441,1.0,1.0,prograde,16.0142943038047,0.0015716793933747571,697.8706095586313,2.946578302245184,0.0002891839197374857,382.82968305709375,137.18686286547774,145.2658428807819,457.710061218606,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,1440.0,1441,1.0,10.0,prograde,6.934477246728213,0.0006805654239737249,93.01441499612312,2.778033671867271,0.00027264256503252085,967.4574140061372,327.00611472104526,324.55490415450913,958.6278648059838,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,3000.0,3001,1.0,0.0,none,14.640375377507644,0.0014368398541691092,2778.403567103662,2.124331482429416,0.00020848674017676406,506.2107147545816,158.96932790626906,150.86606694989987,434.4836446728591,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,3000.0,3001,1.0,0.1,radial,14.617955421453091,0.0014346395085114841,2753.1018722422477,2.1241809193957155,0.0002084719635769975,507.70207916262336,159.26367243024143,151.06622491601593,434.9899826601621,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,3000.0,3001,1.0,1.0,radial,14.365517996335226,0.001409864723457105,2579.449328276479,2.1231927359037766,0.00020837498099370724,523.4375738998215,162.49700494081756,153.48306317026555,441.73351926514823,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,3000.0,3001,1.0,1.0,prograde,11.275573434960615,0.0011066105118351112,1384.476367792935,2.1251835137446844,0.00020857036047468744,684.657532002121,208.41251198910507,194.57945270481218,557.1449544061737,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,3000.0,3001,1.0,10.0,prograde,6.108822522790031,0.0005995337849243623,499.055207692477,2.084818854411505,0.0002046088806810085,1225.393572333548,385.32952007764555,356.8228587222646,1008.5198576156208,7.851497230149107e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,15.0,16,1.0,0.0,none,1106095.9678019842,10.885235062864071,5038818977.416328,25.81877774254721,0.00025408596807558603,0.04751352979661985,0.018622534023063506,0.022585647046120226,0.08599425747876803,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,30.0,31,1.0,0.0,none,101473.97817468169,0.9986186889283472,141631739.53541782,20.390283188675607,0.00020066344328888657,0.5208631537497989,0.2034480615674712,0.24552054024805375,0.9275491418656759,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,30.0,31,1.0,0.1,radial,85423.7127857782,0.8406659283493998,100199713.05773208,20.390441018052517,0.000200664996508424,0.7087808263907989,0.25037439612603496,0.28332029443926865,1.0236900649655407,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,30.0,31,1.0,1.0,radial,33742.63420111532,0.33206567568387624,15396967.621359522,20.391832212106497,0.00020067868743103512,2.5296030854656144,0.7056366675402226,0.6481748969984474,1.9426328139926523,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,30.0,31,1.0,1.0,prograde,121086.36885059012,1.1916267902744009,198197643.21973753,20.383446217809617,0.0002005961597645264,1.1698341257055285,0.23631042492319027,0.1547395518342892,0.5060227017833856,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,30.0,31,1.0,10.0,prograde,7056.211293191405,0.06944109807420884,576213.7394934582,20.323483196916488,0.00020000605583457703,15.015682522139624,3.672865682465626,2.8022771316145496,6.416600206631526,1.1368683772161603e-10
