sweep,geom,arc_min,rho0_km,dv_ms,burn_frac,ang_from_los_deg,crlb_los_m,crlb_rel,crlb_rel_drift,info_gain,fim_cond
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,210,18.82260476291281,0.0018472933914096498,0.015075263317472911,66.59752048899261,3489.1115983620016
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,225,23.413303180500915,0.0022978350117423764,0.015075263317472911,43.04196880687698,3887.0809014862252
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,240,32.412827061919096,0.003181068825626297,0.015075263317472911,22.458651809797445,5631.935010598231
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,255,48.83781588682104,0.00479305471665466,0.015075263317472911,9.892476780761035,10437.092074278244
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,270,63.04164023099534,0.00618705045604542,0.015075263317472911,5.936937784031061,15259.805155465543
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,285,54.268748735568515,0.00532605886177959,0.015075263317472911,8.011574760136032,10471.589500690192
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,300,42.671277026245484,0.004187856518610512,0.015075263317472911,12.958246160525926,6205.971917098592
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,315,35.80925086113825,0.0035144016091465872,0.015075263317472911,18.400390296252155,4272.568308743713
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,330,32.10371722861134,0.0031507320810852724,0.015075263317472911,22.8932190232436,3390.0383360761743
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,345,30.327755212267704,0.0029764351154150195,0.015075263317472911,25.652929879255634,2998.187057149716
direction,A3_leo_100km,180.0,101.61433918643861,1.0,0.25,0,531.8069834470268,0.0052335820682874795,0.004836854142992482,0.8541377271754548,11853.518310526004
direction,A3_leo_100km,180.0,101.61433918643861,1.0,0.25,15,533.7460771121557,0.005252664942620511,0.004836854142992482,0.8479428545490084,11986.196301726168
direction,A3_leo_100km,180.0,101.61433918643861,1.0,0.25,30,533.1267262112764,0.00524656982941269,0.004836854142992482,0.8499141653128527,12016.685292009823
direction,A3_leo_100km,180.0,101.61433918643861,1.0,0.25,45,529.5396717673224,0.005211269157552071,0.004836854142992482,0.8614676496622821,11922.319715485808
direction,A3_leo_100km,180.0,101.61433918643861,1.0,0.25,60,522.7318719113684,0.0051442727089163805,0.004836854142992482,0.8840524168127839,11688.53846505458
direction,A3_leo_100km,180.0,101.61433918643861,1.0,0.25,75,512.8268554992978,0.005046796147130182,0.004836854142992482,0.9185323510043274,11319.629179156951
direction,A3_leo_100km,180.0,101.61433918643861,1.0,0.25,90,500.4560075308941,0.004925053014542309,0.004836854142992482,0.9645042888093591,10844.140223786373
direction,A3_leo_100km,180.0,101.61433918643861,1.0,0.25,105,486.71103593399516,0.00478978695163282,0.004836854142992482,1.0197497076317954,10310.626588028617
