rho_km,arc_min,burn,sigma_range_m,sigma_pos_m,sigma_vel_ms,frac_of_tb5_pos,frac_of_tb5_vel,frac_of_t3_pos,frac_of_t3_vel
9.998283040369412,300.0,1 m/s radial,37.864298515693726,37.939853055226806,0.04161411587856721,0.0075728597031387455,0.04161411587856721,0.0012621432838564575,0.0008322823175713443
9.998283040369412,300.0,1 m/s prograde,15.91922093127812,16.102625693936822,0.018144255530671838,0.003183844186255624,0.018144255530671838,0.0005306406977092706,0.0003628851106134368
9.998283040369412,600.0,drift,309.6985047519819,309.7029141063775,0.3511949103037406,0.06193970095039638,0.3511949103037406,0.01032328349173273,0.007023898206074812
9.998283040369412,600.0,1 m/s radial,30.506708322736824,30.562551490814755,0.03447061651057868,0.006101341664547365,0.03447061651057868,0.0010168902774245609,0.0006894123302115736
9.998283040369412,600.0,1 m/s prograde,18.174506011434296,18.271304546323368,0.020246892051434016,0.0036349012022868594,0.020246892051434016,0.0006058168670478099,0.0004049378410286803
29.973525554635174,60.0,drift,113810.33201142478,113810.33283268756,129.0994604286472,22.762066402284955,129.0994604286472,3.7936777337141594,2.581989208572944
29.973525554635174,60.0,1 m/s radial,1173.664323743835,1173.7512320207352,1.3515122131548354,0.234732864748767,1.3515122131548354,0.0391221441247945,0.027030244263096706
29.973525554635174,60.0,1 m/s prograde,1601.5681505962816,1601.675402252565,1.7487955930274088,0.32031363011925634,1.7487955930274088,0.053385605019876055,0.03497591186054818
29.973525554635174,120.0,drift,9648.45302059025,9648.455946420736,10.944601052325288,1.92969060411805,10.944601052325288,0.3216151006863417,0.21889202104650576
29.973525554635174,120.0,1 m/s radial,375.80113422536874,375.90705819129573,0.42682970998120373,0.07516022684507374,0.42682970998120373,0.012526704474178958,0.008536594199624074
29.973525554635174,120.0,1 m/s prograde,299.3495109399498,299.6412491356478,0.3203569080869471,0.059869902187989966,0.3203569080869471,0.00997831703133166,0.006407138161738942
29.973525554635174,180.0,drift,5680.942354916269,5680.945538969021,6.445274629055173,1.136188470983254,6.445274629055173,0.18936474516387564,0.12890549258110345
29.973525554635174,180.0,1 m/s radial,319.8004630529895,319.84809175418116,0.35756083321266763,0.0639600926105979,0.35756083321266763,0.010660015435099651,0.007151216664253352
29.973525554635174,180.0,1 m/s prograde,142.99263772548804,143.35561070792323,0.15502717203232186,0.028598527545097608,0.15502717203232186,0.004766421257516268,0.003100543440646437
29.973525554635174,300.0,drift,2541.296049400174,2541.300831970242,2.882933660141456,0.5082592098800348,2.882933660141456,0.08470986831333914,0.05765867320282912
29.973525554635174,300.0,1 m/s radial,266.5058954260427,266.56821004464064,0.2984355800472205,0.05330117908520854,0.2984355800472205,0.008883529847534755,0.0059687116009444095
29.973525554635174,300.0,1 m/s prograde,80.38296323923784,80.61324911178879,0.09218372005761764,0.016076592647847568,0.09218372005761764,0.002679432107974595,0.0018436744011523529
