gamma,gap_deg,da_km,warpset,N_decisions,S_simsteps,terminal_value_per_decision,frac_per_decision,terminal_value_semiMDP,frac_semiMDP,visible_10pct,visible_1pct
0.997,30.0,100.0,D16 (warp 5/30/60min),26,449,9.248559951318692,0.9248559951318692,2.5949325990253937,0.25949325990253935,1,1
0.997,30.0,200.0,coast-only (tau=1),287,277,4.221924235801302,0.4221924235801302,4.350697140184184,0.4350697140184184,1,1
0.997,30.0,200.0,legacy D10 (warp-5min),67,277,8.176653739626436,0.8176653739626436,4.350697140184184,0.4350697140184184,1,1
0.997,30.0,200.0,D16 (warp 5/30min),22,277,9.3603800616986,0.9360380061698599,4.350697140184184,0.4350697140184184,1,1
0.997,30.0,200.0,D16 (warp 5/30/60min),18,277,9.473552137914398,0.9473552137914398,4.350697140184184,0.4350697140184184,1,1
0.997,30.0,340.0,coast-only (tau=1),224,208,5.10170640226372,0.510170640226372,5.352946820139811,0.5352946820139811,1,1
0.997,30.0,340.0,legacy D10 (warp-5min),64,208,8.250687380258052,0.8250687380258052,5.352946820139811,0.5352946820139811,1,1
0.997,30.0,340.0,D16 (warp 5/30min),34,208,9.028911218085797,0.9028911218085798,5.352946820139811,0.5352946820139811,1,1
0.997,30.0,340.0,D16 (warp 5/30/60min),32,208,9.083329444789532,0.9083329444789532,5.352946820139811,0.5352946820139811,1,1
0.997,90.0,50.0,coast-only (tau=1),2202,2198,0.013388705913351423,0.0013388705913351423,0.013550582635885034,0.0013550582635885034,0,0
0.997,90.0,50.0,legacy D10 (warp-5min),446,2198,2.6184278225749096,0.26184278225749097,0.013550582635885034,0.0013550582635885034,1,1
0.997,90.0,50.0,D16 (warp 5/30min),81,2198,7.839851260833201,0.78398512608332,0.013550582635885034,0.0013550582635885034,1,1
0.997,90.0,50.0,D16 (warp 5/30/60min),45,2198,8.735386475474634,0.8735386475474634,0.013550582635885034,0.0013550582635885034,1,1
0.997,90.0,100.0,coast-only (tau=1),1162,1157,0.3046309032156078,0.030463090321560783,0.3092417815486109,0.03092417815486109,0,1
0.997,90.0,100.0,legacy D10 (warp-5min),242,1157,4.833128159417704,0.4833128159417704,0.3092417815486109,0.03092417815486109,1,1
0.997,90.0,100.0,D16 (warp 5/30min),52,1157,8.5535861173136,0.8553586117313601,0.3092417815486109,0.03092417815486109,1,1
0.997,90.0,100.0,D16 (warp 5/30/60min),34,1157,9.028911218085797,0.9028911218085798,0.3092417815486109,0.03092417815486109,1,1
0.997,90.0,200.0,coast-only (tau=1),648,637,1.4271268792767111,0.1427126879276711,1.4750809166955774,0.14750809166955775,1,1
0.997,90.0,200.0,legacy D10 (warp-5min),140,637,6.566321814590332,0.6566321814590332,1.4750809166955774,0.14750809166955775,1,1
0.997,90.0,200.0,D16 (warp 5/30min),35,637,9.001824484431541,0.9001824484431541,1.4750809166955774,0.14750809166955775,1,1
