i_t_deg,da_m,di_deg,dv_ms,dv_axis,j2,orbits,n_obs,rho0_km,rho_max_km,oop_amp_m,raan_rate_deg_day,draan_deg_per_orbit,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_vrange_ms,sigma_vplane_ms,range_frac_of_box,j2_gain,fim_cond
51.6,0.0,0.04169392,0.0,none,1,3.0,284,4.999999889678859,7.083791072617842,5075.026280513748,-4.769666919805919,0.00028737023240764967,682.824501083205,0.4080854118184741,0.5036747146667097,0.0009337695755078605,0.7565765721200305,0.136564900216641,1.002666979786541,6286943421.959699
51.6,0.0,0.04169392,1.0,nor,0,1.0,95,4.999999889678859,7.0699549025070985,4998.471413864528,-4.769666919805919,0.00028737023240764967,14.704277130592933,0.9414059081932191,1.0415909309066647,0.0008685453169239351,0.01500886419438551,0.0029408554261185866,1.0,119826.16412858172
51.6,0.0,0.04169392,1.0,nor,0,3.0,284,4.999999889678859,7.0699549025070985,4998.471413864528,-4.769666919805919,0.00028737023240764967,9.201595825888187,0.3550047577175576,0.9490893712585817,0.00037773616259795614,0.009162377163246664,0.0018403191651776374,1.0,944209.5349254466
51.6,0.0,0.04169392,1.0,nor,1,1.0,95,4.999999889678859,7.073354376933602,5003.370360260422,-4.769666919805919,0.00028737023240764967,14.682064434719553,0.9400986858407473,1.0429874981215532,0.0008690908026343201,0.014982163725502644,0.0029364128869439105,1.0030281162322574,119898.60522411116
51.6,0.0,0.04169392,1.0,nor,1,3.0,284,4.999999889678859,7.073354376933602,5003.370360260422,-4.769666919805919,0.00028737023240764967,9.203183271339924,0.3539692588794242,0.9513200073673624,0.00037725773044724586,0.009161855847675754,0.0018406366542679847,0.9996550522799106,957007.7245961358
51.6,0.0,1.0,0.0,none,0,1.0,95,4.999999889678457,120.01883520638262,119910.48785197659,-4.769666919805919,0.006937698379605104,67.31352829051728,2.6531825457291127,3.38918351432905,0.030549837873521505,1.7242548202967138,0.013462705658103457,1.0,60864659.294932835
51.6,0.0,1.0,0.0,none,0,3.0,284,4.999999889678457,120.02199969798917,119912.97437408741,-4.769666919805919,0.006937698379605104,36.42745424803617,1.384656838173117,1.9943119146244748,0.016655677923365957,0.9477319092110865,0.007285490849607234,1.0,377879657.336954
51.6,0.0,1.0,0.0,none,1,1.0,95,4.999999889678457,120.23146627858435,120073.04749385451,-4.769666919805919,0.006937698379605104,67.85188792490102,2.818317481335069,3.468925192794935,0.030877627951463107,1.739559925452058,0.013570377584980205,0.9841942829348418,46181430.522119865
51.6,0.0,1.0,0.0,none,1,3.0,284,4.999999889678457,121.03624321886859,120736.25781949029,-4.769666919805919,0.006937698379605104,36.69770174450184,1.6283719276482531,2.4138302298693044,0.0167394613284975,0.9501039238501472,0.007339540348900368,0.9853259244209898,218454335.98728704
51.6,0.0,1.0,1.0,nor,0,1.0,95,4.999999889678457,119.98651749615047,119878.82378565933,-4.769666919805919,0.006937698379605104,53.46268885895541,2.588453567984093,3.3965999596663834,0.023765229730782357,1.3509122820342283,0.010692537771791083,1.0,37065414.198794335
51.6,0.0,1.0,1.0,nor,0,3.0,284,4.999999889678457,119.98651749615047,119878.82378565933,-4.769666919805919,0.006937698379605104,27.245444210807005,1.377679379187096,2.6722933367889907,0.012349506643214932,0.7004790773414741,0.005449088842161401,1.0,204583630.3684797
51.6,0.0,1.0,1.0,nor,1,1.0,95,4.999999889678457,120.06000502032931,119944.89081530714,-4.769666919805919,0.006937698379605104,54.08188432702144,2.7533738896292537,3.468887358536857,0.02414461491327011,1.3680240557145247,0.010816376865404289,0.9772326418459252,28266344.12660466
51.6,0.0,1.0,1.0,nor,1,3.0,284,4.999999889678457,120.30241728605132,120000.67621204043,-4.769666919805919,0.006937698379605104,30.905221893495206,1.6227071489676737,2.7069351504721557,0.013947014853167142,0.7891107966817462,0.006181044378699041,0.7771843628999524,151701843.71745664
