episode,terminal_cause,success,steps,episode_orbits,a_sat_km,a_tgt_km,hohmann_dv,policy_dv,lambert_dv_immediate,lambert_dv_free,lambert_dv_timematched,ratio_immediate,ratio_free,ratio_timematched,best_tof_immediate_s,best_revs_immediate,best_wait_free_s,best_tof_free_s,best_revs_free,best_wait_tm_s,best_tof_tm_s,best_revs_tm,n_burns,teleport_net_deg,teleport_abs_deg,teleport_coast_deg
ep_0000051.npz,1,1,1055,10.594943203593852,6835.11,7116.439,152.45124666403808,185.0,1412.1314566125336,1412.1314566125336,150.45804832468582,0.13100763327217704,0.13100763327217704,1.229578623808633,13124.885357390818,1,0.0,13124.885357390818,1,59425.43596540179,3795.8138744420953,0,8,-1.5984015027990454e-05,0.0008537770986800895,0.0008459959695366399
ep_0000052.npz,1,1,1009,10.444004465054133,6828.089,6974.444,80.58822134129059,285.0,1546.1930562474697,1546.1930562474697,212.418093164185,0.18432368380419467,0.18432368380419467,1.3416936182536674,13125.187355292424,1,0.0,13125.187355292424,1,1192.2339892988448,55965.57587715005,10,12,-9.077966641647843e-05,0.0007918644483490466,0.000782311830296222
ep_0000053.npz,1,1,827,8.312599589300904,6833.3395,7112.2325,151.2279795342547,185.0,1627.9232038272198,1627.9232038272198,266.44983040194006,0.11364172435472886,0.11364172435472886,0.6943145721689038,15503.29006688906,3,0.0,15503.29006688906,3,1657.2101086528362,45545.513952655936,8,8,7.227082876503591e-05,0.0006214075286569938,0.000608643834429427
ep_0000054.npz,1,1,1145,11.643839094064534,6956.529,7057.21,54.18870540347871,210.0,814.8217077454076,814.8217077454076,127.22715865064323,0.2577250925003766,0.2577250925003766,1.6505909762289444,14730.374128684876,2,0.0,14730.374128684876,2,405.07607339810926,66802.00599654953,11,11,2.913683846728189e-05,0.0008645990122153037,0.0008596832362096091
ep_0000055.npz,1,1,647,6.785675337757914,7164.797,6913.548,134.31134583689163,260.0,702.7214459533998,702.7214459533998,414.38781954178364,0.36999013122084456,0.36999013122084456,0.6274315695077607,15218.480347110237,2,0.0,15218.480347110237,2,1254.1412404805674,32539.544602142647,5,11,-5.307287854897792e-05,0.000496309611555431,0.000489264082421821
ep_0000056.npz,1,1,432,4.387317117776919,6723.8585,7063.4465,187.33372864943976,260.0,511.0415870480259,346.6881515477703,301.415888660372,0.5087648570869949,0.7499535211666283,0.8625955358742272,4221.440779535083,0,3495.3525167142993,11134.632743261162,1,3423.0370273109243,22496.962575059686,3,11,-1.6562082011790573e-05,0.0003353612439926464,0.00032956995568200786
ep_0000057.npz,1,1,933,9.552982337517697,6837.0235,7025.145,102.92136911342732,175.0,937.6822376364485,937.6822376364485,195.12802823502898,0.18663038818044644,0.18663038818044644,0.8968470679630655,14432.552839932887,2,0.0,14432.552839932887,2,6056.6596638655465,49415.63454179055,8,7,-5.5734970095816325e-05,0.0007029049937845529,0.0006980469776696512
ep_0000058.npz,1,1,1124,11.716936077888858,6841.6,6941.6335,55.19646418319098,295.0,984.0851712216559,984.0851712216559,353.39455636470893,0.2997708009701876,0.2997708009701876,0.8347610190564316,13115.512626621585,1,0.0,13115.512626621585,1,247.94117647058823,66153.39508383049,12,13,-0.00011570280459478533,0.0008827460868599451,0.0008718086981726885
ep_0000059.npz,1,1,224,2.4114446503168407,7113.948,6794.2365,174.06945104548504,195.0,204.63185704809737,173.84352118660308,173.84352118660308,0.952930803702605,1.1216984025000714,1.1216984025000714,8775.265754946775,1,3368.2688370464257,3213.983766963384,0,3368.2688370464257,3213.983766963384,0,9,3.000783878646585e-06,0.0001869996866278183,0.0001787306996824436
ep_0000060.npz,1,1,862,8.931793065528376,6805.8425,6969.569,90.42093633503646,245.0,726.4076676467005,726.4076676467005,346.70054653427735,0.33727617550309164,0.33727617550309164,0.7066617069084358,12315.537031989283,1,0.0,12315.537031989283,1,0.0,46741.275884532544,7,11,6.91674767305775e-05,0.0006201620311788417,0.0006141434363602279
ep_0000061.npz,1,1,1057,10.750033582788221,6954.268,7056.732,55.16456555368313,225.0,907.266218327419,907.266218327419,215.83440478367797,0.24799777116665533,0.24799777116665533,1.0424658674112144,13435.318067384622,1,0.0,13435.318067384622,1,1510.867417279412,61429.99956353361,10,9,0.0001053775402963023,0.0007951092108725309,0.0007867791239705035
ep_0000062.npz,1,1,517,5.411638077321955,7148.346,6922.581,120.78092936062967,175.0,434.28031280391735,404.7602577120399,159.98009646846762,0.4029655382490584,0.43235470050644376,1.0938860762250686,12536.776368871138,1,6878.508774633531,11464.181291055886,1,14980.191250328257,9747.481849272706,1,7,3.1292201701381276e-05,0.0003886740684721259,0.00038266023486753704
ep_0000063.npz,1,1,585,6.197362619853552,6790.5155,6867.4075,43.012354351235444,85.0,323.6614624554372,323.6614624554372,166.10122841825887,0.26262008258614694,0.26262008258614694,0.5117361310896619,15350.613928297545,2,0.0,15350.613928297545,2,4719.327731092437,26586.271734861763,4,4,4.648417457071041e-05,0.00045933061055069505,0.0004565695787159367
ep_0000064.npz,1,1,981,10.435585016614654,7134.954,6848.4925,154.7024426652415,350.0,909.2266793706767,909.2266793706767,489.92978301230573,0.38494250987251416,0.38494250987251416,0.7143880860805086,14924.138313787433,2,0.0,14924.138313787433,2,537.1284138655462,53944.74235450736,8,16,0.0001103042281998869,0.0007017413066102506,0.0006867835228420052
ep_0000065.npz,1,1,972,10.510863829965016,7170.6195,6774.0035,215.11750426835897,210.0,1392.03601736388,1392.03601736388,215.17215781541614,0.15085816557942244,0.15085816557942244,0.9759626995056998,14208.731633011588,2,0.0,14208.731633011588,2,46250.9627757353,2623.344197610972,0,9,7.387290522574721e-05,0.0007014129526841568,0.0006979235863460065
ep_0000066.npz,1,1,333,3.4673695916521,7028.4025,6946.8765,44.060034450830244,195.0,270.18587651007425,213.4245733980281,168.02321533903378,0.721725363733915,0.9136717337432976,1.1605539127824271,16907.041422874263,2,2700.3741572111676,3914.5430197999863,0,12227.494050354515,3686.8150095761907,0,9,-2.5648894956629463e-06,0.000247997359364541,0.0002383987655032406
ep_0000067.npz,1,1,695,7.482043360926775,6893.623,6794.1725,55.4496988785495,330.0,600.6435589619117,600.6435589619117,272.0810294529598,0.5494107030304909,0.5494107030304909,1.212873976048572,15796.374316344562,3,0.0,15796.374316344562,3,4076.5432149422268,36138.012208178065,6,15,-4.9049457462820796e-05,0.0005419921295069,0.0005311180470125786
ep_0000068.npz,1,1,805,8.341394677716709,6911.06,6969.447,31.87828392378833,175.0,490.5166249982474,405.2848708456869,121.44394432716541,0.3567667049014399,0.43179504735727386,1.4409940402508385,17119.995375260012,2,2214.780517005844,11580.797184679233,1,2363.9476102941176,45936.038373161406,7,9,7.81742112980905e-05,0.0005927374220858873,0.0005842246099256327
ep_0000069.npz,1,1,850,9.315404030424556,6947.5835,6713.8505,130.70950364733926,175.0,956.7412598287265,956.7412598287265,130.98814080252023,0.18291256721940483,0.18291256721940483,1.3359988081961767,13827.223379467336,2,0.0,13827.223379467336,2,35339.66936383929,12637.657916123231,2,7,-0.0001230259885696447,0.0006767946422506316,0.0006706310793526363
ep_0000070.npz,1,1,731,7.444955353291496,6980.6255,7050.1285,37.339622022628646,275.0,947.8062383253907,947.8062383253907,257.3224335084412,0.29014369064069184,0.29014369064069184,1.0686981164080236,14384.077427087068,2,0.0,14384.077427087068,2,0.0,43221.48602019254,7,11,6.949742485245546e-05,0.0005440320374101738,0.0005392011576351478
ep_0000071.npz,1,1,1084,11.064675825441483,6789.1695,7039.696,137.56602448584545,185.0,986.1687944923783,986.1687944923783,138.40796220307686,0.18759466029872413,0.18759466029872413,1.336628305592432,14248.15985758741,2,0.0,14248.15985758741,2,8706.310891544119,52486.5096274863,9,8,-7.877952891817927e-05,0.000842525366130222,0.000839010343580567
ep_0000072.npz,1,1,798,8.535110901831631,7098.926,6823.743,149.58407997201266,245.0,934.7977625541953,934.7977625541953,170.2522583595384,0.2620887745073053,0.2620887745073053,1.4390411167563457,12343.432521089519,1,0.0,12343.432521089519,1,93.31916360294117,33870.27762921474,5,11,9.290235046900328e-05,0.0006022709368621841,0.0005915570665659438
ep_0000073.npz,1,1,327,3.266651561178726,6957.4265,7141.5115,98.18620008148082,95.0,144.54551981170363,96.7303201508694,96.69528712595854,0.6572324076440036,0.9821119153935329,0.982467737814872,16122.516593313798,2,6445.323396974432,9667.897461313376,1,11296.401449251574,3941.409901978093,0,5,-1.8145341216895525e-05,0.00023666002218542193,0.00023296854783081574
ep_0000074.npz,1,1,655,7.123967863979552,6975.2825,6747.969,126.26072273708542,120.0,582.3474809632858,582.3474809632858,125.60029417978078,0.20606253812844333,0.20606253812844333,0.955411774977496,16549.76583992328,2,0.0,16549.76583992328,2,26157.079052324058,7480.078089180647,1,6,1.4417052781517822e-05,0.0004866835927125564,0.0004827902268482126
ep_0000075.npz,1,1,958,9.693770410354862,6955.7865,7080.6865,67.06134009728703,335.0,912.4269492962762,912.4269492962762,286.51481207772065,0.36715268028676057,0.36715268028676057,1.1692240187188896,13567.88309555085,1,0.0,13567.88309555085,1,4287.792148109244,49286.06423037387,7,14,7.306502314143909e-05,0.0007063034719051259,0.0006959247844912136
ep_0000076.npz,1,1,665,7.05822734157521,6793.4305,6858.7375,36.554841962143655,260.0,605.0895923408361,605.0895923408361,224.20336940497964,0.42968843505334436,0.42968843505334436,1.1596614301115196,13554.010882564526,2,0.0,13554.010882564526,2,5009.192612591912,32871.99770303106,5,11,6.098216193487438e-05,0.0004994237272993757,0.0004937134506425843
