alt_km,i_deg,dRAAN_deg,theta_exact_deg,theta_smallangle_deg,lin_err_pct,dv_ms,dv_per_deg_RAAN,dv_per_deg_incl,cost_ratio_RAAN_to_incl,node_u_deg
8000.0,5.0,0.5,0.04357773414721485,0.04357787137382908,0.00031490075589532345,4.0055983119178915,8.011196623835783,91.9172978223245,0.08715657241492641,90.0
8000.0,5.0,1.0,0.08715464493620846,0.08715574274765817,0.0012596132432277475,8.011120362750402,8.011120362750402,91.9172978223245,0.0871557427442639,90.0
8000.0,5.0,2.0,0.17430270312381774,0.17431148549531633,0.0050385744691298934,16.021630648245065,8.010815324122532,91.9172978223245,0.08715242412377465,90.0
8000.0,5.0,5.0,0.4356414994142663,0.4357787137382908,0.03149707367388293,40.04340123429649,8.008680246859297,91.9172978223245,0.08712919588149796,90.0
8000.0,28.5,0.1,0.04771587134384327,0.04771587602596085,9.812495177556697e-06,4.385969498653566,43.85969498653566,91.9172978223245,0.47716475598876007,90.0
8000.0,28.5,0.25,0.11928961697875737,0.1192896900649021,6.126781742100925e-05,10.964916441060094,43.859665764240376,91.9172978223245,0.47716443806932624,90.0
8000.0,28.5,0.5,0.2385787954545005,0.2385793801298042,0.00024506591317136354,21.929780693252308,43.859561386504616,91.9172978223245,0.4771633025079223,90.0
8000.0,28.5,1.0,0.47715408285218924,0.4771587602596084,0.0009802719053028817,43.85914387525403,43.85914387525403,91.9172978223245,0.4771587602589607,90.0
8000.0,28.5,2.0,0.9542801008161998,0.9543175205192168,0.003921249430326071,87.71494770697363,43.857473853486816,91.9172978223245,0.4771405915158974,90.0
8000.0,28.5,5.0,2.3852090694159362,2.385793801298042,0.024514911066024443,219.22892384562954,43.845784769125906,91.9172978223245,0.47701342193369856,90.0
8000.0,51.6,0.1,0.0783693418955415,0.07836934573258399,4.896101469005089e-06,7.203589008044719,72.03589008044719,91.9172978223245,0.7837033048957995,90.0
8000.0,51.6,0.25,0.19592330436702138,0.19592336433145996,3.0606077601311165e-05,18.008960519735304,72.03584207894122,91.9172978223245,0.7837027826708527,90.0
8000.0,51.6,0.5,0.39184624893971726,0.3918467286629199,0.00012242638635612984,36.01783532312232,72.03567064624464,91.9172978223245,0.7837009175953921,90.0
8000.0,51.6,1.0,0.7836896194844939,0.7836934573258398,0.0004897144546109394,72.03498491847473,72.03498491847473,91.9172978223245,0.783693457326366,90.0
8000.0,51.6,2.0,1.5673562103289276,1.5673869146516797,0.0019589881706383555,144.06448409387633,72.03224204693817,91.9172978223245,0.7836636166804641,90.0
8000.0,51.6,5.0,3.9179873578451727,3.9184672866291996,0.012249370408654547,360.0652185049252,72.01304370098504,91.9172978223245,0.7834547512502571,90.0
8000.0,63.4,0.1,0.08941542141177979,0.08941542368393682,2.541124346276742e-06,8.218927403247488,82.18927403247487,91.9172978223245,0.8941654724374749,90.0
8000.0,63.4,0.25,0.22353852365973864,0.22353855920984203,1.5903345332493907e-05,20.547304815857654,82.18921926343062,91.9172978223245,0.8941648765861439,90.0
