alt_km,a_km,v_circ_ms,di_deg,dv_circ_ms,frac_budget_circ,dv_apo_e10_ms,dv_per_e10_ms,dv_apo_e30_ms,dv_per_e30_ms,dv_apo_e50_ms,dv_per_e50_ms
20200.0,26571.0,3873.1555420221052,0.05,3.379965725257935,0.007069137238363785,3.057294031347828,3.736692704980679,2.4802167728993862,4.606116863956004,1.9514241213293775,5.854272363988133
20200.0,26571.0,3873.1555420221052,0.1,6.759930807018107,0.014138273130863627,6.114587480630028,7.473384698547813,4.96043307360051,9.212232850972375,3.902847871135148,11.708543613405446
20200.0,26571.0,3873.1555420221052,0.2,13.519856466054838,0.02827653549481723,12.229170304735698,14.946763705788076,9.920862369615449,18.42445868642869,7.805692770081864,23.417078310245593
20200.0,26571.0,3873.1555420221052,0.25,16.899815756336974,0.03534565927454541,15.28645851542891,18.683449296635334,12.401074420533547,23.030566780990874,9.757113176176231,29.2713395285287
20200.0,26571.0,3873.1555420221052,0.5,33.79955107554538,0.07069115031628992,30.572844272737452,37.36680966667911,24.80208981635156,46.0610239446529,19.51417991195463,58.5425397358639
20200.0,26571.0,3873.1555420221052,0.75,50.69912552087949,0.10603630489323333,45.859084514151554,56.04999218396301,37.20298716301944,69.09126187417897,29.2711537671584,87.81346130147521
20200.0,26571.0,3873.1555420221052,1.0,67.59845865635928,0.14138095477497692,61.14510648258975,74.73290792316526,49.60370743666446,92.12117095380542,39.02798830205282,117.08396490615847
20200.0,26571.0,3873.1555420221052,1.5,101.39607925996145,0.21206806754408125,91.7162045777534,112.09758337280972,74.40438067388997,138.1795641086528,58.54105365551138,175.62316096653416
20200.0,26571.0,3873.1555420221052,2.0,135.1917694283738,0.28275114284286906,122.28555652858795,149.46012464605195,99.20363735895904,184.23532652378108,78.05300447169343,234.15901341508032
20200.0,26571.0,3873.1555420221052,3.0,202.77478482373013,0.4240997983165182,183.4166940560087,224.17595940178845,148.79601254018627,276.3354518603459,117.07207660284904,351.21622980854715
20200.0,26571.0,3873.1555420221052,5.0,337.88934382732026,0.7066894569511454,305.6324111276208,373.5507247115366,247.942992936869,460.46555831132815,195.08050361500935,585.2415108450282
20200.0,26571.0,3873.1555420221052,7.5,506.6329848866331,1.0596137330274802,458.2667774418436,560.1038390955866,371.7669730878756,690.424378591769,292.50469020464124,877.5140706139238
20200.0,26571.0,3873.1555420221052,10.0,675.1354960842903,1.412033690355381,610.6830335896494,746.3903743873494,495.4140122945241,920.0545942612591,389.7896604037365,1169.3689812112098
20200.0,26571.0,3873.1555420221052,15.0,1011.0964895522707,2.1146900373752766,914.5711861882855,1117.8092275634601,741.9419829222849,1377.892253998529,583.7568304196891,1751.2704912590675
20200.0,26571.0,3873.1555420221052,20.0,1345.1328033854209,2.813320951717904,1216.7184005531842,1487.1002673427809,987.0576248163275,1833.1070175160369,776.6127861303686,2329.8383583911063
20200.0,26571.0,3873.1555420221052,28.5,1906.7799821644714,3.9879958771643627,1724.7473887091217,2108.024586200038,1399.1939795875337,2598.503104948277,1100.8799359880472,3302.6398079641426
20200.0,26571.0,3873.1555420221052,38.94,2581.9481040966093,5.400097803890968,2335.459933488529,2854.451029819313,1894.6319327091664,3518.602160745595,1490.688432933821,4472.065298801464
20200.0,26571.0,3873.1555420221052,45.0,2964.384913809778,6.1999574807692275,2681.387043626472,3277.2508310990215,2175.2638287478007,4039.775681960202,1711.4884279697408,5134.465283909223
20200.0,26571.0,3873.1555420221052,60.0,3873.155542022105,8.10063482818131,3503.401005701705,4281.934562524306,2842.1191574770646,5278.221292457406,2236.167394799753,6708.50218439926
20200.0,26571.0,3873.1555420221052,90.0,5477.469096708177,11.456027637845857,4954.557216694892,6055.56993151598,4019.363458384459,7464.532136999711,3162.418257462322,9487.254772386968
