LEO 500 km, rho0 = 5 km, i_t = 51.6 deg, sigma_beta = 1 mrad, 60 s cadence
box: 5 km / 1 m/s   plane box: 0.0417 deg pos (5.00 km) / 0.0075 deg vel

 v_tol      da_m   dI_deg    dv      axis  orb |     sig_rng    /box  sig_vrng   /vbox sig_plane  /plbox       gain
   0.5     300.7   0.2500   1.0       rad  3.0 |       10.74   0.002    0.0016   0.002     1.458  0.0003        200
   0.5     300.7   0.2500   1.0       nor  1.0 |       25.45   0.005    0.0023   0.002     3.797  0.0008        141
   0.5     300.7   0.2500   1.0       nor  3.0 |       26.98   0.005    0.0020   0.002     2.185  0.0004       31.7
   0.5     300.7   0.2500   1.0  perp_los  1.0 |       25.40   0.005    0.0049   0.005     1.832  0.0004        142
   0.5     300.7   0.2500   1.0  perp_los  3.0 |        6.29   0.001    0.0009   0.001     1.192  0.0002        583
   0.5     300.7   1.0000   0.0         -  1.0 |       68.07   0.014    0.0243   0.024     3.567  0.0007          1
   0.5     300.7   1.0000   0.0         -  3.0 |       37.11   0.007    0.0133   0.013     2.606  0.0005          1
   0.5     300.7   1.0000   1.0       pro  1.0 |       37.71   0.008    0.0156   0.016     3.874  0.0008       3.26
   0.5     300.7   1.0000   1.0       pro  3.0 |        6.41   0.001    0.0024   0.002     3.102  0.0006       33.6
   0.5     300.7   1.0000   1.0       rad  1.0 |       33.52   0.007    0.0150   0.015     3.808  0.0008       4.12
   0.5     300.7   1.0000   1.0       rad  3.0 |       20.34   0.004    0.0047   0.005     2.623  0.0005       3.33
   0.5     300.7   1.0000   1.0       nor  1.0 |       34.98   0.007    0.0131   0.013     4.592  0.0009       3.79
   0.5     300.7   1.0000   1.0       nor  3.0 |       32.41   0.006    0.0115   0.011     2.788  0.0006       1.31
   0.5     300.7   1.0000   1.0  perp_los  1.0 |       44.20   0.009    0.0108   0.011     3.339  0.0007       2.37
   0.5     300.7   1.0000   1.0  perp_los  3.0 |       12.80   0.003    0.0078   0.008     2.158  0.0004        8.4

   1.0     601.4   0.0000   0.0         -  1.0 |     2354.06   0.471    0.4623   0.462     1.051  0.0002          1
   1.0     601.4   0.0000   0.0         -  3.0 |      343.23   0.069    0.0673   0.067     0.874  0.0002          1
   1.0     601.4   0.0000   1.0       pro  1.0 |       24.26   0.005    0.0033   0.003     1.207  0.0002   9.42e+03
   1.0     601.4   0.0000   1.0       pro  3.0 |        7.54   0.002    0.0022   0.002     1.026  0.0002   2.07e+03
   1.0     601.4   0.0000   1.0       rad  1.0 |       20.38   0.004    0.0027   0.003     1.181  0.0002   1.33e+04
   1.0     601.4   0.0000   1.0       rad  3.0 |       14.57   0.003    0.0035   0.004     0.921  0.0002        555
   1.0     601.4   0.0000   1.0       nor  1.0 |       15.23   0.003    0.0032   0.003     1.911  0.0004   2.39e+04
   1.0     601.4   0.0000   1.0       nor  3.0 |       11.57   0.002    0.0024   0.002     1.033  0.0002        880
   1.0     601.4   0.0000   1.0  perp_los  1.0 |       16.94   0.003    0.0054   0.005     0.812  0.0002   1.93e+04
   1.0     601.4   0.0000   1.0  perp_los  3.0 |       10.46   0.002    0.0014   0.001     0.762  0.0002   1.08e+03
   1.0     601.4   0.0075   0.0         -  1.0 |     2127.01   0.425    0.4176   0.418     1.058  0.0002          1
   1.0     601.4   0.0075   0.0         -  3.0 |      334.72   0.067    0.0656   0.066     0.879  0.0002          1
   1.0     601.4   0.0075   1.0       pro  1.0 |       24.19   0.005    0.0033   0.003     1.222  0.0002   7.73e+03
   1.0     601.4   0.0075   1.0       pro  3.0 |        7.35   0.001    0.0022   0.002     1.033  0.0002   2.07e+03
   1.0     601.4   0.0075   1.0       rad  1.0 |       20.36   0.004    0.0026   0.003     1.190  0.0002   1.09e+04
   1.0     601.4   0.0075   1.0       rad  3.0 |       14.32   0.003    0.0035   0.003     0.927  0.0002        546
   1.0     601.4   0.0075   1.0       nor  1.0 |       15.10   0.003    0.0031   0.003     1.922  0.0004   1.99e+04
   1.0     601.4   0.0075   1.0       nor  3.0 |       10.89   0.002    0.0022   0.002     1.043  0.0002        944
   1.0     601.4   0.0075   1.0  perp_los  1.0 |       16.97   0.003    0.0054   0.005     0.821  0.0002   1.57e+04
   1.0     601.4   0.0075   1.0  perp_los  3.0 |       10.31   0.002    0.0013   0.001     0.766  0.0002   1.05e+03
   1.0     601.4   0.0417   0.0         -  1.0 |     1197.15   0.239    0.2338   0.234     1.218  0.0002          1
   1.0     601.4   0.0417   0.0         -  3.0 |      285.44   0.057    0.0558   0.056     0.979  0.0002          1
   1.0     601.4   0.0417   1.0       pro  1.0 |       23.10   0.005    0.0031   0.003     1.510  0.0003   2.69e+03
   1.0     601.4   0.0417   1.0       pro  3.0 |        5.36   0.001    0.0017   0.002     1.160  0.0002   2.84e+03
   1.0     601.4   0.0417   1.0       rad  1.0 |       20.62   0.004    0.0025   0.003     1.376  0.0003   3.37e+03
   1.0     601.4   0.0417   1.0       rad  3.0 |       11.99   0.002    0.0029   0.003     1.027  0.0002        566
   1.0     601.4   0.0417   1.0       nor  1.0 |       16.03   0.003    0.0032   0.003     2.200  0.0004   5.58e+03
   1.0     601.4   0.0417   1.0       nor  3.0 |       14.39   0.003    0.0028   0.003     1.245  0.0002        393
   1.0     601.4   0.0417   1.0  perp_los  1.0 |       18.22   0.004    0.0057   0.006     0.997  0.0002   4.32e+03
   1.0     601.4   0.0417   1.0  perp_los  3.0 |        8.19   0.002    0.0011   0.001     0.843  0.0002   1.21e+03
   1.0     601.4   0.1000   0.0         -  1.0 |      722.54   0.145    0.1382   0.138     1.622  0.0003          1
   1.0     601.4   0.1000   0.0         -  3.0 |      235.56   0.047    0.0452   0.045     1.259  0.0003          1
   1.0     601.4   0.1000   1.0       pro  1.0 |       22.85   0.005    0.0029   0.003     1.967  0.0004      1e+03
   1.0     601.4   0.1000   1.0       pro  3.0 |        4.00   0.001    0.0017   0.002     1.445  0.0003   3.47e+03
   1.0     601.4   0.1000   1.0       rad  1.0 |       22.57   0.005    0.0026   0.003     1.760  0.0004   1.02e+03
   1.0     601.4   0.1000   1.0       rad  3.0 |       10.55   0.002    0.0025   0.002     1.232  0.0002        498
   1.0     601.4   0.1000   1.0       nor  1.0 |       19.57   0.004    0.0039   0.004     2.811  0.0006   1.36e+03
   1.0     601.4   0.1000   1.0       nor  3.0 |       20.64   0.004    0.0039   0.004     1.646  0.0003        130
   1.0     601.4   0.1000   1.0  perp_los  1.0 |       21.78   0.004    0.0066   0.007     1.367  0.0003    1.1e+03
   1.0     601.4   0.1000   1.0  perp_los  3.0 |        7.10   0.001    0.0009   0.001     1.029  0.0002    1.1e+03
   1.0     601.4   0.2500   0.0         -  1.0 |      299.48   0.060    0.0498   0.050     2.352  0.0005          1
   1.0     601.4   0.2500   0.0         -  3.0 |      138.23   0.028    0.0232   0.023     1.861  0.0004          1
   1.0     601.4   0.2500   1.0       pro  1.0 |       26.40   0.005    0.0027   0.003     2.673  0.0005        129
   1.0     601.4   0.2500   1.0       pro  3.0 |        4.07   0.001    0.0019   0.002     1.992  0.0004   1.16e+03
   1.0     601.4   0.2500   1.0       rad  1.0 |       27.34   0.005    0.0028   0.003     2.500  0.0005        120
   1.0     601.4   0.2500   1.0       rad  3.0 |       12.13   0.002    0.0027   0.003     1.680  0.0003        130
   1.0     601.4   0.2500   1.0       nor  1.0 |       26.54   0.005    0.0046   0.005     3.791  0.0008        127
